Source;Target
X2D2;Z2Z8
COUR;CZXI
P7R5;KCG8
Z4A3;C4O9
ODIP;WNHU
PDYR;L8TF
AMSM;PYJ8
BFPK;CNLA
LYUS;SEA8
NPYD;DNCQ
EJPB;TACK
OOX3;KWSK
YJG3;PZJT
DYOI;KBW9
FDUQ;NRDP
TJQ4;E2VD
YMMK;RVXK
BHOY;OPIT
DKA7;PAQF
Z9GQ;QBN0
MCUY;KIGX
TEZT;K0Z4
JJIP;RED7
S0LT;VZM1
ZRTD;HIQU
PABD;N6MM
P5UZ;ASTI
MQE5;Y9KN
P4DT;FLCG
P4A1;RHAJ
P0VF;OTV0
YAOR;FDL0
FPCD;G8SI
HGPC;EOOG
L6MX;CSVP
MIQA;LRF8
N5WL;B8Z0
H8E9;KSWS
D2J8;JSHX
J5X7;HJWH
DOO3;RKJT
P8B5;C2KL
YEBS;K0ZJ
WRH1;Y2NW
SZK1;Y2JF
ADNB;E0FS
TWZH;L4T6
QFG9;NVP7
G1XH;GDQQ
N6L1;W7SF
QXH8;LIAB
G7OA;UIP8
HUPT;WDA7
A6X3;OKW3
LBET;Z0TR
GOTM;ISHK
R8MP;N9DN
GDR9;SQX8
IEVX;YXC2
HFTR;XHZ5
GAPX;B4C6
ZOA6;U4S8
HNFF;MHYR
T9C2;LBFM
XNAH;KVOC
KUSX;JLUB
SALW;XFU6
ANL3;FJVL
OQU5;HNQ5
LWL0;GQWU
DBJO;IEFF
ZSKS;NFM5
ZEJI;G8SI
U2PG;JXP0
X7VI;DWRJ
G2UD;CUS7
FFFO;JKP3
NYF5;HJE6
TFAE;XYXT
YJK3;BNYE
KBIT;GPYW
V7JM;VUBK
AJTM;LPQ3
JSHK;WDA7
WDHX;Z8S1
ABI0;A1L9
VQBO;JSRU
PAPQ;RRNO
GKWG;ZHMJ
QMB4;QEVR
GDTG;O7VQ
NVWR;XGTD
Z5SH;NEKE
TNE8;ZCCP
CSGE;ANTH
Q9TE;QOIJ
N7FO;X7BB
F8HI;X0KV
