network,channels,model,steps_to_disruption,number_of_components,global_efficiency,largest_component_nodes,nodes_count,edges_count
2,32,IsF,1033,179,0.013051269175382327,97,823,1162
2,32,COV,812,159,0.013836324170271872,113,1044,1634
2,32,SVM,1023,214,0.012210111541477811,146,833,982
2,32,OS1,995,174,0.013313999577268297,104,861,1250
2,32,OS2,1040,272,0.009203470754354534,62,816,995
2,32,CoADA,1049,305,0.006754923135784158,49,807,831
2,32,DSVDD,1295,204,0.009861997829434865,41,561,631
2,32,AnoGAN,1093,169,0.013761158022567593,90,763,1060
2,64,IsF,839,165,0.015471862428813939,122,1017,1594
2,64,COV,1062,159,0.014937886346400895,75,794,1181
2,64,SVM,1094,221,0.00986450915651982,77,762,921
2,64,OS1,825,170,0.01442019430738377,108,1031,1605
2,64,OS2,1036,274,0.009391623024026617,59,820,970
2,64,CoADA,1132,285,0.006146214767922222,51,724,627
2,64,DSVDD,1040,301,0.006217807926384985,78,816,831
2,64,AnoGAN,768,161,0.015202311455113882,140,1088,1716
2,128,IsF,780,176,0.015055435822801569,138,1076,1691
2,128,COV,1033,149,0.015824374250908095,89,823,1273
2,128,SVM,1297,208,0.009308854482648014,44,559,568
2,128,OS1,730,171,0.015131845943087963,146,1126,1771
2,128,OS2,804,290,0.013255088361679332,101,1052,1487
2,128,CoADA,1139,276,0.007492547871162277,63,717,684
2,128,DSVDD,1078,297,0.006370504075241535,47,778,823
2,128,AnoGAN,705,171,0.014977509827651576,149,1151,1836
2,256,IsF,766,158,0.0159640190995265,150,1090,1728
2,256,COV,1006,151,0.015686100745757353,88,850,1311
2,256,SVM,1271,221,0.0064963258456408515,32,585,555
2,256,OS1,600,162,0.016828375335958524,234,1256,2073
2,256,OS2,711,288,0.012012293868191607,108,1145,1647
2,256,CoADA,1089,294,0.0064901602063615355,53,767,709
2,256,DSVDD,1026,295,0.005479488174998809,42,830,858
2,256,AnoGAN,637,162,0.01664021091929581,224,1219,1994
3,32,IsF,1672,271,0.02942557644513022,879,2381,4618
3,32,COV,1970,267,0.027146761503837415,717,2083,4002
