graph;num_nodes;network;channels;model;steps_to_disruption;number_of_components;global_efficiency;largest_component_nodes;nodes_count;edges_count
GT;4053;3;32;OS2;1727;1370;0.000783314346402;27;2326;1096
GT;1856;2;64;OS2;608;619;0.002243188903674;40;1248;737
GAT;583;40;128;DSVDD;251;91;0.0208490881633604;66;332;453
GAT;281;177;128;DSVDD;115;60;0.0219751734209565;22;166;168
GAT;272;88;64;DSVDD;115;68;0.0172995263759594;20;157;102
GAT;203;22;128;DSVDD;96;44;0.0245106683124669;8;107;111
GAT;119;229;32;DSVDD;44;24;0.0402522522522523;10;75;76
GAT;109;159;128;DSVDD;52;28;0.0745614035087719;17;57;75
GAT;98;611;64;DSVDD;46;27;0.0336852689793866;8;52;33
GAT;90;128;128;DSVDD;12;27;0.0604395604395604;16;78;119
GT;89;1298;128;DSVDD;35;22;0.0844397856976474;17;54;61
GAT;87;87;128;DSVDD;48;25;0.0247413405308142;4;39;16
GAT;85;170;256;DSVDD;11;36;0.0356226089102801;17;74;46
GT;75;73;64;COV;27;31;0.0255614657210401;7;48;21
GAT;69;109;128;DSVDD;25;18;0.1058668076109936;19;44;49
GAT;67;28;64;DSVDD;10;28;0.0442460317460317;13;57;39
GT;67;154;64;COV;10;17;0.1318086883876351;20;57;111
GAT;62;220;64;DSVDD;24;18;0.0751016053647632;15;38;26
GT;58;528;32;CoADA;25;15;0.0852272727272727;8;33;30
GAT;56;233;128;DSVDD;14;22;0.0503290747193186;8;42;32
GAT;55;314;256;DSVDD;22;17;0.0594065656565657;10;33;17
GAT;54;678;32;DSVDD;25;9;0.3308702791461413;20;29;86
GAT;52;1272;32;DSVDD;16;16;0.0658730158730158;9;36;30
GT;51;345;128;CoADA;20;14;0.0874551971326164;7;31;34
GAT;51;139;32;OS2;23;11;0.1470017636684302;14;28;27
GAT;47;454;64;DSVDD;12;12;0.1033053221288514;12;35;39
GT;45;53;32;CoADA;18;22;0.0218423551756885;5;27;5
GAT;45;9;128;DSVDD;8;7;0.6126126126126126;29;37;407
GAT;44;118;64;DSVDD;13;13;0.0774193548387096;6;31;31
GAT;42;429;256;DSVDD;18;13;0.0638285024154589;6;24;11
GAT;41;1053;256;DSVDD;13;18;0.0568783068783068;7;28;16
GT;41;595;256;CoADA;14;16;0.0669515669515669;8;27;14
GT;39;124;128;COV;19;13;0.0495614035087719;5;20;7
GAT;38;884;32;DSVDD;16;13;0.0652958152958153;6;22;10
GAT;37;610;64;DSVDD;11;13;0.1005641025641026;11;26;17
GAT;35;882;32;DSVDD;7;15;0.0709876543209876;9;28;14
GAT;35;202;64;DSVDD;16;9;0.1003898635477582;7;19;11
GT;35;1165;32;SVM;10;15;0.0633333333333333;5;25;16
GAT;35;1558;32;DSVDD;14;13;0.0519841269841269;5;21;8
GT;34;180;64;DSVDD;22;6;0.1666666666666666;5;12;10
GT;34;574;32;COV;7;15;0.0884140550807217;10;27;20
GAT;34;134;32;DSVDD;11;8;0.3000658761528328;14;23;63
GAT;34;1663;256;COV;7;10;0.097340930674264;8;27;24
GAT;33;797;64;DSVDD;10;16;0.0316205533596837;3;23;7
GAT;33;63;64;DSVDD;14;12;0.0555555555555555;4;19;8
GAT;33;45;32;DSVDD;11;10;0.1125541125541125;6;22;24
GT;32;292;128;COV;13;10;0.1052631578947368;5;19;17
GAT;32;81;64;DSVDD;10;18;0.0281385281385281;4;22;6
GAT;32;47;256;IsF;8;8;0.2059178743961351;11;24;40
GT;31;886;64;DSVDD;16;11;0.0507936507936507;4;15;4
GAT;30;15;256;OS2;12;10;0.0947712418300653;5;18;14
