network,nodes,edges
1,2,1
2,1856,3450
3,4053,8931
4,19,26
5,5,6
6,9,36
7,2,1
8,4,6
9,45,432
10,4,6
11,2,1
12,16,17
13,4,6
14,6,11
15,30,53
16,6,11
17,22,28
18,10,45
19,5,5
20,25,56
21,7,21
22,203,381
23,5,9
24,14,25
25,2,1
26,3,2
27,4,4
28,67,125
29,2,1
30,19,111
31,2,1
32,12,32
33,4,4
34,4,6
35,10,24
36,21,191
37,23,34
38,15,37
39,5,10
40,583,1316
41,11,17
42,4,5
43,10,45
44,6,11
45,33,74
46,12,66
47,32,74
48,5,7
49,2,1
50,3,2
51,4,6
52,24,32
53,45,63
54,24,47
55,6,10
56,8,11
57,18,31
58,7,13
59,7,6
60,2,1
61,6,8
62,2,1
63,33,52
64,14,62
65,7,21
66,5,10
67,3,3
68,4,6
69,8,7
70,4,6
71,9,21
72,2,1
73,75,132
74,3,2
75,23,56
76,3,3
77,7,10
78,9,14
79,5,5
80,2,1
81,32,42
82,5,10
83,3,2
84,22,66
85,9,36
86,16,29
87,87,113
88,272,368
89,2,1
90,5,4
91,6,6
92,3,3
93,9,21
94,2,1
95,5,4
96,8,16
97,4,3
98,5,10
99,10,11
100,14,56
101,2,1
102,6,14
103,11,17
104,13,12
105,3,2
106,7,9
107,3,2
108,19,28
109,69,169
110,4,6
111,4,6
112,2,1
113,12,18
114,21,86
115,2,1
116,3,2
117,3,3
118,44,69
119,13,13
120,16,120
121,2,1
122,3,2
123,2,1
124,39,78
125,2,1
126,29,119
127,5,10
128,90,200
129,5,4
130,24,72
131,6,13
132,2,1
133,6,8
134,34,121
135,20,41
136,4,6
137,9,19
138,13,20
139,51,144
140,25,41
141,4,3
142,19,38
143,4,6
144,5,5
145,3,3
146,7,21
147,3,2
148,2,1
149,25,24
150,23,60
151,6,8
152,14,21
153,3,3
154,67,171
155,4,6
156,4,6
157,3,3
158,2,1
159,109,268
160,17,26
161,5,5
162,3,3
163,20,144
164,21,27
165,2,1
166,3,3
167,11,20
168,2,1
169,3,2
170,85,106
171,7,21
172,9,18
173,12,66
174,17,20
175,2,1
176,4,5
177,281,475
178,3,3
179,13,16
180,34,128
181,13,27
182,4,6
183,4,6
184,7,21
185,4,6
186,6,5
187,2,1
188,5,10
189,2,1
190,6,11
191,3,3
192,5,6
193,3,2
194,11,22
195,6,9
196,7,21
197,16,22
198,4,6
199,4,3
200,13,27
201,4,3
202,35,55
203,3,2
204,15,32
205,14,22
206,4,6
207,2,1
208,6,5
209,5,6
210,4,3
211,4,6
212,2,1
213,3,3
214,12,66
215,21,36
216,8,16
217,4,6
218,16,22
219,3,3
220,62,94
221,3,3
222,2,1
223,19,26
224,3,2
225,5,10
226,3,2
227,4,6
228,8,13
229,119,225
230,6,15
231,5,5
232,5,8
233,56,105
234,4,6
235,2,1
236,13,39
237,2,1
238,5,10
239,6,15
240,13,62
241,11,17
242,29,53
243,6,9
244,3,2
245,2,1
246,4,5
247,7,18
248,4,6
249,7,16
250,3,3
251,9,18
252,7,10
253,2,1
254,12,11
255,5,10
256,13,25
257,4,6
258,4,4
259,3,3
260,11,10
261,4,3
262,5,9
263,2,1
264,8,9
265,6,11
266,25,27
267,3,2
268,4,4
269,3,2
270,2,1
271,3,3
272,5,10
273,12,37
274,6,10
275,6,15
276,7,9
277,11,11
278,3,3
279,2,1
280,2,1
281,6,11
282,3,3
283,13,13
284,5,10
285,15,32
286,2,1
287,4,3
288,10,16
289,2,1
290,2,1
291,2,1
292,32,57
293,5,7
294,7,13
295,3,2
296,5,8
297,7,6
298,3,3
299,2,1
300,25,32
301,6,11
302,2,1
303,3,2
304,4,3
305,2,1
306,5,5
307,5,4
308,5,8
309,4,5
310,2,1
311,2,1
312,18,29
313,4,6
314,55,84
315,2,1
316,3,2
317,2,1
318,4,3
319,2,1
320,3,3
321,4,6
322,3,3
323,3,2
324,3,2
325,3,3
326,6,6
327,4,4
328,3,2
329,8,10
330,3,3
331,4,6
332,4,4
333,2,1
334,10,9
335,2,1
336,2,1
337,8,10
338,5,5
339,4,3
340,4,3
341,3,2
342,3,3
343,3,2
344,2,1
345,51,113
346,15,18
347,2,1
348,3,2
349,5,6
350,3,2
351,4,3
352,5,4
353,2,1
354,2,1
355,7,6
356,5,4
357,4,3
358,2,1
359,3,2
360,5,7
361,2,1
362,2,1
363,2,1
364,3,3
365,4,3
366,5,4
367,4,6
368,2,1
369,3,2
370,3,2
371,4,6
372,2,1
373,2,1
374,18,24
375,16,21
376,2,1
377,3,3
378,2,1
379,2,1
380,2,1
381,2,1
382,9,17
383,2,1
384,8,14
385,2,1
386,2,1
387,7,6
388,4,3
389,2,1
390,2,1
391,2,1
392,2,1
393,2,1
394,3,3
395,2,1
396,2,1
397,2,1
398,2,1
399,3,3
400,2,1
401,2,1
402,3,3
403,3,3
404,2,1
405,10,19
406,4,3
407,2,1
408,7,7
409,2,1
410,2,1
411,8,10
412,3,2
413,3,2
414,4,6
415,3,2
416,4,4
417,2,1
418,2,1
419,2,1
420,2,1
421,5,10
422,5,10
423,3,2
424,2,1
425,2,1
426,2,1
427,2,1
428,2,1
429,42,69
430,2,1
431,3,3
432,3,2
433,5,7
434,2,1
435,3,2
436,19,24
437,2,1
438,2,1
439,5,4
440,2,1
441,2,1
442,2,1
443,2,1
444,11,34
445,6,5
446,6,6
447,6,8
448,21,43
449,5,10
450,4,6
451,2,1
452,2,1
453,2,1
454,47,93
455,4,5
456,8,9
457,3,2
458,2,1
459,3,3
460,6,8
461,2,1
462,2,1
463,2,1
464,2,1
465,3,2
466,2,1
467,4,6
468,2,1
469,7,10
470,7,6
471,3,2
472,5,5
473,2,1
474,3,2
475,11,16
476,13,19
477,6,11
478,3,3
479,2,1
480,6,7
481,2,1
482,3,2
483,2,1
484,3,2
485,6,8
486,12,19
487,2,1
488,2,1
489,6,7
490,2,1
491,2,1
492,5,4
493,5,4
494,2,1
495,2,1
496,4,3
497,2,1
498,3,3
499,2,1
500,2,1
501,3,3
502,3,2
503,4,3
504,2,1
505,2,1
506,11,55
507,14,19
508,6,7
509,2,1
510,2,1
511,2,1
512,2,1
513,2,1
514,2,1
515,4,3
516,2,1
517,2,1
518,2,1
519,3,3
520,2,1
521,2,1
522,2,1
523,6,5
524,4,6
525,2,1
526,2,1
527,2,1
528,58,98
529,5,5
530,3,2
531,26,29
532,5,5
533,2,1
534,2,1
535,2,1
536,3,2
537,4,3
538,14,21
539,2,1
540,2,1
541,29,32
542,18,60
543,2,1
544,5,5
545,14,17
546,2,1
547,2,1
548,9,14
549,4,3
550,3,3
551,5,5
552,2,1
553,5,10
554,5,7
555,3,3
556,2,1
557,2,1
558,2,1
559,2,1
560,2,1
561,6,7
562,2,1
563,15,71
564,4,4
565,2,1
566,9,12
567,4,6
568,7,7
569,2,1
570,3,3
571,2,1
572,7,10
573,6,9
574,34,47
575,11,25
576,2,1
577,9,18
578,2,1
579,3,2
580,3,2
581,2,1
582,3,2
583,2,1
584,2,1
585,2,1
586,3,2
587,3,3
588,2,1
589,2,1
590,7,8
591,3,2
592,14,23
593,4,3
594,12,17
595,41,66
596,7,21
597,2,1
598,2,1
599,5,7
600,2,1
601,3,2
602,2,1
603,2,1
604,4,4
605,3,2
606,4,3
607,2,1
608,3,2
609,5,4
610,37,58
611,98,130
612,2,1
613,7,6
614,5,4
615,2,1
616,2,1
617,2,1
618,3,2
619,4,4
620,2,1
621,5,4
622,2,1
623,2,1
624,3,3
625,2,1
626,3,2
627,5,4
628,14,15
629,26,44
630,15,14
631,5,10
632,2,1
633,5,4
634,3,2
635,3,3
636,3,2
637,2,1
638,13,26
639,2,1
640,3,3
641,5,7
642,3,3
643,7,12
644,5,4
645,17,33
646,2,1
647,10,10
648,5,7
649,3,2
650,8,7
651,19,20
652,3,2
653,2,1
654,2,1
655,8,11
656,4,5
657,2,1
658,7,12
659,5,5
660,15,19
661,2,1
662,2,1
663,3,2
664,2,1
665,3,2
666,2,1
667,2,1
668,3,3
669,2,1
670,2,1
671,6,12
672,16,17
673,4,3
674,2,1
675,3,2
676,4,6
677,3,3
678,54,251
679,9,8
680,2,1
681,2,1
682,2,1
683,5,5
684,2,1
685,2,1
686,7,15
687,2,1
688,2,1
689,10,12
690,3,2
691,3,3
692,6,8
693,5,5
694,5,7
695,3,2
696,2,1
