network,nodes,edges
2,1856,3450
3,4053,8931
9,45,432
15,30,53
22,203,381
28,67,125
40,583,1316
45,33,74
47,32,74
53,45,63
63,33,52
73,75,132
81,32,42
87,87,113
88,272,368
109,69,169
118,44,69
124,39,78
128,90,200
134,34,121
139,51,144
154,67,171
159,109,268
170,85,106
177,281,475
180,34,128
202,35,55
220,62,94
229,119,225
233,56,105
292,32,57
314,55,84
345,51,113
429,42,69
454,47,93
528,58,98
574,34,47
595,41,66
610,37,58
611,98,130
678,54,251
797,33,45
882,35,43
884,38,63
886,31,61
1053,41,67
1165,35,56
1272,52,93
1298,89,157
1558,35,47
1663,34,48
