network,channels,model,steps_to_disruption,number_of_components,global_efficiency,largest_component_nodes,nodes_count,edges_count
2,32,IsF,776,387,0.0052874215625217024,70,1080,995
2,32,COV,1277,369,0.006760474178496001,67,579,264
2,32,SVM,833,887,0.0005394835929524395,18,1023,180
2,32,OS1,982,257,0.008782149481976604,59,874,1109
2,32,OS2,1056,394,0.004066895375171356,30,800,586
2,32,CoADA,1064,407,0.003890593065687875,34,792,483
2,32,DSVDD,1157,456,0.002784165672614598,41,699,303
2,32,AnoGAN,1284,334,0.0037141929873978972,24,572,363
2,64,IsF,1003,327,0.0072115698521257885,55,853,815
2,64,COV,1293,475,0.0017682976934697843,22,563,108
2,64,SVM,1482,332,0.00068099382087712,5,374,42
2,64,OS1,921,225,0.009997810687443542,68,935,1303
2,64,OS2,608,619,0.002243188903674077,40,1248,737
2,64,CoADA,1101,253,0.0076122608709956975,41,755,869
2,64,DSVDD,1215,373,0.0032180349713988574,19,641,330
2,64,AnoGAN,1231,197,0.008914715099715259,52,625,722
2,128,IsF,1126,152,0.011951909388066185,67,730,1114
2,128,COV,1322,534,0.0,1,534,0
2,128,SVM,933,310,0.007763738218810929,110,923,922
2,128,OS1,869,186,0.013008546534291726,86,987,1530
2,128,OS2,1278,266,0.005949589541189027,31,578,458
2,128,CoADA,1076,357,0.00481398148278771,38,780,574
2,128,DSVDD,1001,311,0.005855444610323625,58,855,782
2,128,AnoGAN,1135,201,0.009957775140391558,53,721,893
2,256,IsF,984,154,0.01443567406014431,85,872,1361
2,256,COV,1301,550,6.504699645493869e-05,6,555,5
2,256,SVM,1285,293,0.005574429360031679,34,571,418
2,256,OS1,736,174,0.01499371157464684,140,1120,1754
2,256,OS2,1367,244,0.005783102573558158,28,489,341
2,256,CoADA,1036,282,0.007462348917052558,56,820,856
2,256,DSVDD,1274,287,0.0052485135154546215,33,582,350
2,256,AnoGAN,802,181,0.01573872092071747,176,1054,1699
3,32,IsF,1819,791,0.003120057829040755,235,2234,1933
3,32,COV,2953,760,0.002195727765584657,39,1100,517
3,32,SVM,2934,1119,0.0,1,1119,0
3,32,OS1,2114,330,0.01707993854680498,427,1939,3660
3,32,OS2,1727,1370,0.0007833143464020243,27,2326,1096
3,32,CoADA,2380,630,0.005443062203117057,206,1673,2108
3,32,DSVDD,2947,925,0.0009020862483260099,35,1106,191
3,32,AnoGAN,3084,534,0.0031052344422287928,42,969,867
3,64,IsF,2429,760,0.0018386651307919848,70,1624,1121
3,64,COV,2917,932,0.001625741970176404,50,1136,325
3,64,SVM,2055,1671,0.0003438925488666763,17,1998,461
3,64,OS1,2042,323,0.020714113228636484,620,2011,3802
3,64,OS2,2600,881,0.0012955364852693363,31,1453,757
3,64,CoADA,3078,811,0.00045595745801084594,8,975,175
3,64,DSVDD,2542,755,0.0020619329356831987,52,1511,898
3,64,AnoGAN,1969,374,0.01677283944577191,502,2084,3478
3,128,IsF,1239,280,0.030729717766883557,1084,2814,5744
3,128,COV,2934,1048,0.0009485426281984681,42,1119,131
3,128,SVM,2934,1119,0.0,1,1119,0
3,128,OS1,1584,321,0.026124417930620595,844,2469,4859
3,128,OS2,2836,651,0.0026605534609943156,50,1217,986
3,128,CoADA,2638,712,0.0023586378973946545,68,1415,999
3,128,DSVDD,2697,497,0.0070617612639140275,162,1356,1546
3,128,AnoGAN,2471,402,0.011650445585790942,296,1582,2349
3,256,IsF,1630,258,0.028748267072540665,910,2423,4939
3,256,COV,2935,1100,0.00015735030100752276,19,1118,43
3,256,SVM,2358,640,0.006730354774725456,207,1695,2180
3,256,OS1,1362,302,0.028814587082424726,973,2691,5363
3,256,OS2,2983,528,0.002900150060392423,61,1070,897
3,256,CoADA,2586,630,0.004322691449832586,185,1467,1460
3,256,DSVDD,2855,458,0.007584899092051478,140,1198,1419
3,256,AnoGAN,1299,305,0.0301221367365407,992,2754,5534
9,32,IsF,25,2,0.8973684210526316,19,20,170
9,32,COV,22,5,0.6067193675889329,18,23,153
9,32,SVM,27,6,0.19172113289760348,7,18,25
9,32,OS1,24,2,0.9,20,21,188
9,32,OS2,20,4,0.7683333333333333,22,25,230
9,32,CoADA,25,2,0.8973684210526316,19,20,170
9,32,DSVDD,41,4,0.0,1,4,0
9,32,AnoGAN,21,3,0.8333333333333334,22,24,229
9,64,IsF,22,2,0.9110671936758893,22,23,230
9,64,COV,26,5,0.5380116959064327,14,19,92
9,64,SVM,35,8,0.06666666666666667,3,10,3
9,64,OS1,21,2,0.9148550724637681,23,24,252
9,64,OS2,18,3,0.8518518518518519,25,27,298
9,64,CoADA,15,2,0.8595785440613039,29,30,351
9,64,DSVDD,39,4,0.2,3,6,3
9,64,AnoGAN,21,2,0.9148550724637681,23,24,252
9,128,IsF,19,2,0.92,25,26,298
9,128,COV,30,4,0.45714285714285713,10,15,48
9,128,SVM,35,4,0.18888888888888888,3,10,8
9,128,OS1,20,2,0.9183333333333333,24,25,275
9,128,OS2,21,3,0.8333333333333334,22,24,229
9,128,CoADA,16,3,0.8004926108374384,26,29,324
9,128,DSVDD,35,6,0.15555555555555556,4,10,7
9,128,AnoGAN,19,2,0.92,25,26,298
9,256,IsF,19,3,0.78,23,26,253
9,256,COV,26,7,0.45614035087719296,13,19,78
9,256,SVM,38,5,0.09523809523809523,2,7,2
9,256,OS1,18,3,0.7279202279202279,23,27,255
9,256,OS2,19,3,0.8461538461538461,24,26,274
9,256,CoADA,35,2,0.7888888888888889,9,10,35
9,256,DSVDD,40,3,0.3,3,5,3
9,256,AnoGAN,17,3,0.7367724867724867,24,28,278
15,32,IsF,22,6,0.07142857142857142,2,8,2
15,32,COV,20,6,0.13333333333333333,3,10,6
15,32,SVM,17,10,0.038461538461538464,2,13,3
15,32,OS1,21,5,0.14814814814814814,4,9,4
15,32,OS2,20,7,0.08888888888888889,3,10,4
15,32,CoADA,18,6,0.15151515151515152,4,12,10
15,32,DSVDD,14,7,0.1375,6,16,13
15,32,AnoGAN,21,5,0.16666666666666666,3,9,6
15,64,IsF,23,4,0.19047619047619047,3,7,4
15,64,COV,21,7,0.05555555555555555,2,9,2
15,64,SVM,21,7,0.08333333333333333,3,9,3
15,64,OS1,23,4,0.16666666666666666,3,7,3
15,64,OS2,15,5,0.24285714285714288,8,15,18
15,64,CoADA,20,4,0.36666666666666664,7,10,12
15,64,DSVDD,19,7,0.12727272727272726,4,11,7
15,64,AnoGAN,18,7,0.09090909090909091,3,12,6
15,128,IsF,20,6,0.15555555555555556,4,10,7
15,128,COV,22,5,0.15476190476190474,4,8,3
15,128,SVM,17,8,0.07051282051282051,3,13,5
15,128,OS1,23,4,0.19047619047619047,3,7,4
15,128,OS2,21,6,0.1388888888888889,4,9,4
15,128,CoADA,22,6,0.07142857142857142,2,8,2
15,128,DSVDD,15,10,0.06666666666666667,3,15,7
15,128,AnoGAN,17,6,0.15918803418803418,5,13,10
15,256,IsF,18,6,0.12121212121212122,4,12,7
15,256,COV,22,6,0.08928571428571429,3,8,2
15,256,SVM,15,7,0.13015873015873014,6,15,9
15,256,OS1,22,5,0.125,3,8,3
15,256,OS2,11,5,0.24707602339181287,13,19,21
15,256,CoADA,16,7,0.13644688644688643,5,14,10
15,256,DSVDD,19,5,0.18333333333333332,6,11,6
15,256,AnoGAN,23,5,0.09523809523809523,2,7,2
22,32,IsF,83,30,0.054051954114979504,32,120,163
22,32,COV,159,38,0.008985200845665961,4,44,8
22,32,SVM,129,69,0.0022213994816734544,3,74,5
22,32,OS1,104,24,0.062114340685769376,30,99,132
22,32,OS2,118,27,0.06454715219421082,24,85,100
22,32,CoADA,130,41,0.0213089802130898,7,73,46
22,32,DSVDD,117,46,0.02364341085271319,10,86,58
22,32,AnoGAN,126,37,0.03161881977671452,13,77,56
22,64,IsF,87,27,0.0612090383379743,33,116,159
22,64,COV,160,36,0.012181616832779624,4,43,11
22,64,SVM,144,42,0.015000974089226573,5,59,21
22,64,OS1,85,31,0.05965298041569267,32,118,164
22,64,OS2,124,29,0.04508276533592988,12,79,87
22,64,CoADA,143,37,0.018926553672316385,5,60,26
22,64,DSVDD,156,28,0.023743447425223562,5,47,20
22,64,AnoGAN,129,39,0.03196347031963471,16,74,44
22,128,IsF,70,26,0.06329351517321487,43,133,204
22,128,COV,140,46,0.01565966888547534,6,63,22
22,128,SVM,133,40,0.030572808833678414,11,70,49
22,128,OS1,72,24,0.07294154107131236,47,131,204
22,128,OS2,136,31,0.03116990803557968,7,67,51
22,128,CoADA,137,37,0.02925407925407923,11,66,39
22,128,DSVDD,154,28,0.03684807256235827,10,49,28
22,128,AnoGAN,115,29,0.048655271931133906,21,88,96
22,256,IsF,86,28,0.05684322063632435,29,117,175
22,256,COV,128,60,0.007267267267267269,5,75,16
22,256,SVM,134,35,0.033319124751349814,11,69,56
22,256,OS1,68,30,0.06277431186220625,42,135,196
22,256,OS2,140,39,0.021932070319167093,8,63,33
22,256,CoADA,122,37,0.03912330981775427,21,81,55
22,256,DSVDD,131,29,0.039449660928534205,10,72,67
22,256,AnoGAN,65,30,0.06326218769887484,44,138,204
28,32,IsF,55,6,0.1944444444444444,7,12,6
28,32,COV,36,26,0.015053763440860216,4,31,6
28,32,SVM,44,14,0.06455862977602107,6,23,12
28,32,OS1,39,7,0.3020282186948861,21,28,39
28,32,OS2,49,16,0.013071895424836602,2,18,2
28,32,CoADA,43,9,0.2019927536231883,15,24,15
28,32,DSVDD,20,20,0.14654640764723972,26,47,40
28,32,AnoGAN,60,5,0.11904761904761904,3,7,2
28,64,IsF,33,9,0.2661616161616154,24,34,47
28,64,COV,53,14,0.0,1,14,0
28,64,SVM,46,21,0.0,1,21,0
28,64,OS1,47,8,0.22631578947368414,12,20,22
28,64,OS2,57,9,0.022222222222222223,2,10,1
28,64,CoADA,30,9,0.26078578578578454,29,37,42
28,64,DSVDD,29,16,0.14125177809388317,22,38,23
28,64,AnoGAN,48,18,0.005847953216374269,2,19,1
28,128,IsF,29,8,0.3407776197249864,31,38,58
28,128,COV,57,10,0.0,1,10,0
28,128,SVM,43,21,0.012681159420289856,3,24,3
28,128,OS1,33,8,0.2813428401663685,25,34,45
28,128,OS2,40,9,0.2176163342830012,18,27,24
28,128,CoADA,44,13,0.07971014492753625,8,23,11
28,128,DSVDD,34,26,0.03125,7,33,11
28,128,AnoGAN,39,7,0.3311287477954153,22,28,39
28,256,IsF,50,6,0.2634803921568627,11,17,17
28,256,COV,47,15,0.03684210526315789,4,20,5
28,256,SVM,37,20,0.042911877394636026,6,30,12
28,256,OS1,23,6,0.308147085472668,37,44,63
28,256,OS2,57,9,0.022222222222222223,2,10,1
28,256,CoADA,40,11,0.15384615384615374,13,27,24
28,256,DSVDD,50,14,0.025735294117647058,3,17,3
28,256,AnoGAN,44,6,0.3115942028985511,17,23,33
40,32,IsF,192,78,0.05354051730328901,197,391,734
40,32,COV,392,99,0.031205107008358865,48,191,197
40,32,SVM,438,145,0.0,1,145,0
40,32,OS1,210,75,0.037883925581753575,91,373,679
40,32,OS2,384,104,0.01425815948429013,21,199,127
40,32,CoADA,369,81,0.030293808541801373,48,214,230
40,32,DSVDD,426,84,0.011990309761010398,12,157,107
40,32,AnoGAN,272,79,0.0360599604500652,71,311,523
40,64,IsF,362,66,0.03472374031197554,49,221,346
40,64,COV,400,105,0.03411926351036447,49,183,177
40,64,SVM,438,145,0.0,1,145,0
40,64,OS1,240,77,0.038134789821403774,86,343,592
40,64,OS2,349,101,0.020164402174416615,43,234,202
40,64,CoADA,408,94,0.012177339901477815,18,175,104
40,64,DSVDD,279,109,0.031936457273546284,81,304,418
40,64,AnoGAN,451,68,0.014399722414989597,8,132,94
40,128,IsF,164,61,0.04754628955348457,145,419,828
40,128,COV,425,152,0.0007659437232927518,4,158,7
40,128,SVM,376,179,0.0028102184075168447,11,207,34
40,128,OS1,306,64,0.04167682969872577,81,277,495
40,128,OS2,290,65,0.04015718633395936,88,293,468
40,128,CoADA,309,75,0.03680131419964559,68,274,445
40,128,DSVDD,359,65,0.040842017860956,65,224,316
40,128,AnoGAN,288,69,0.029490372420154516,57,295,470
40,256,IsF,133,62,0.04417973107208356,138,450,868
40,256,COV,427,156,0.0,1,156,0
40,256,SVM,335,224,0.0014012232815288842,8,248,35
40,256,OS1,228,73,0.03898857598905244,87,355,642
40,256,OS2,339,83,0.02411191346376548,44,244,290
40,256,CoADA,317,104,0.021687056815443907,55,266,247
40,256,DSVDD,420,63,0.030671059607665162,33,163,167
40,256,AnoGAN,221,69,0.04565871216098143,126,362,683
45,32,IsF,30,3,0.0,1,3,0
45,32,COV,23,6,0.1111111111111111,3,10,5
45,32,SVM,27,6,0.0,1,6,0
45,32,OS1,23,4,0.2777777777777778,6,10,9
45,32,OS2,21,3,0.3232323232323232,7,12,16
45,32,CoADA,19,8,0.10989010989010989,4,14,10
45,32,DSVDD,22,5,0.19090909090909092,5,11,9
45,32,AnoGAN,30,3,0.0,1,3,0
45,64,IsF,19,4,0.3168498168498169,9,14,20
45,64,COV,15,5,0.33061002178649207,13,18,29
45,64,SVM,27,6,0.0,1,6,0
45,64,OS1,19,4,0.3186813186813187,9,14,20
45,64,OS2,22,5,0.2,5,11,9
45,64,CoADA,26,6,0.047619047619047616,2,7,1
45,64,DSVDD,21,8,0.09090909090909091,4,12,5
45,64,AnoGAN,16,3,0.32904411764705865,11,17,27
45,128,IsF,18,5,0.2,6,15,18
45,128,COV,12,8,0.11190476190476191,5,21,23
45,128,SVM,22,6,0.11818181818181818,3,11,6
45,128,OS1,24,5,0.19444444444444445,4,9,7
45,128,OS2,23,5,0.26666666666666666,6,10,9
45,128,CoADA,26,4,0.19047619047619047,3,7,4
45,128,DSVDD,14,5,0.2927875243664716,14,19,23
45,128,AnoGAN,26,4,0.2857142857142857,4,7,6
45,256,IsF,29,2,0.5,3,4,3
45,256,COV,24,5,0.1990740740740741,5,9,5
45,256,SVM,23,4,0.37777777777777777,7,10,13
45,256,OS1,8,4,0.2663888888888891,15,25,42
45,256,OS2,14,6,0.14083820662768037,6,19,20
45,256,CoADA,22,5,0.29696969696969694,7,11,12
45,256,DSVDD,16,9,0.06985294117647059,3,17,9
45,256,AnoGAN,11,4,0.2644300144300141,13,22,34
47,32,IsF,26,6,0.0,1,6,0
47,32,COV,19,6,0.1623931623931624,5,13,10
47,32,SVM,24,6,0.10714285714285714,3,8,3
47,32,OS1,24,5,0.19642857142857142,4,8,5
47,32,OS2,21,7,0.07272727272727272,2,11,4
47,32,CoADA,22,7,0.07777777777777778,3,10,3
47,32,DSVDD,13,9,0.15984405458089673,9,19,18
47,32,AnoGAN,20,5,0.16287878787878785,5,12,7
47,64,IsF,14,5,0.2657952069716775,10,18,28
47,64,COV,14,4,0.24825708061002175,8,18,26
47,64,SVM,23,6,0.1388888888888889,4,9,4
47,64,OS1,25,4,0.23809523809523808,4,7,4
47,64,OS2,23,4,0.2638888888888889,5,9,8
47,64,CoADA,12,6,0.23552631578947364,9,20,34
47,64,DSVDD,25,6,0.047619047619047616,2,7,1
47,64,AnoGAN,21,4,0.3757575757575758,8,11,14
47,128,IsF,12,5,0.2516666666666666,9,20,36
47,128,COV,18,7,0.14102564102564102,5,14,10
47,128,SVM,17,9,0.10952380952380952,5,15,10
