id;nickname;male;female;skin;hair;height;tattoo;age;weapon;arrested;convicted;rape;extortion;kidnapping;theft;homicide;arms_trafficking;drug_trafficking;faction;Dc;Bc;Cc;CC
X2D2;0;0;1;3;1;2;0;22;1;0;0;0;0;0;0;0;0;0;0;1.0;0.0;1.0;0.0
Z2Z8;1;1;0;3;0;2;0;24;1;0;0;0;0;0;0;0;0;0;0;1.0;0.0;1.0;0.0
ABJV;1;1;0;3;2;3;0;47;1;1;0;1;0;0;0;1;0;1;0;0.1666666666666666;0.2091503267973856;0.4090909090909091;0.3333333333333333
B6AH;1;1;0;1;0;3;0;42;1;1;1;0;0;0;0;0;0;1;0;0.4444444444444444;0.4183006535947712;0.45;0.1071428571428571
L8WP;0;1;0;3;0;4;0;30;1;1;1;0;0;0;1;1;1;0;0;0.0555555555555555;0.0;0.3673469387755102;0.0
W7R7;0;1;0;1;0;4;0;33;1;1;1;0;0;0;1;0;0;0;0;0.1111111111111111;0.0588235294117647;0.4615384615384615;0.0
GIC5;1;1;0;1;2;3;0;26;0;1;1;0;0;0;0;0;0;1;0;0.1111111111111111;0.1111111111111111;0.3272727272727272;0.0
TMJU;0;1;0;1;2;2;0;35;1;1;1;0;0;0;1;0;0;0;0;0.1666666666666666;0.0588235294117647;0.4736842105263157;0.6666666666666666
MBU9;1;1;0;1;2;2;0;28;1;1;1;0;0;0;1;1;0;1;0;0.0555555555555555;0.0;0.28125;0.0
U7L0;1;1;0;3;1;4;0;28;1;1;1;0;0;0;1;0;0;0;0;0.0555555555555555;0.0;0.3157894736842105;0.0
HZU1;0;1;0;1;2;2;0;50;1;1;1;0;0;0;0;0;0;1;0;0.0555555555555555;0.0;0.3673469387755102;0.0
VACR;1;1;0;1;2;3;0;27;1;1;1;0;0;0;0;1;0;1;0;0.1111111111111111;0.1111111111111111;0.3829787234042553;0.0
Y9MG;1;1;0;1;2;2;0;24;1;0;0;0;0;0;1;1;1;1;0;0.1111111111111111;0.1111111111111111;0.3050847457627119;0.0
G5MC;1;1;0;3;0;2;0;40;1;1;1;0;0;0;1;0;0;0;0;0.1666666666666666;0.0588235294117647;0.4736842105263157;0.6666666666666666
ODIP;0;1;0;1;2;3;0;33;1;1;1;0;0;0;1;0;0;0;0;0.1666666666666666;0.0588235294117647;0.4736842105263157;0.6666666666666666
ZXO8;1;1;0;1;0;2;0;43;1;1;1;0;0;0;1;1;0;1;0;0.5555555555555556;0.6797385620915033;0.5625;0.0888888888888888
JJD5;0;0;1;3;3;2;0;39;0;1;0;0;0;0;0;0;0;1;0;0.1111111111111111;0.0;0.391304347826087;1.0
ZRO3;1;1;0;1;1;3;0;26;1;1;1;0;0;0;1;1;1;1;0;0.0555555555555555;0.0;0.2368421052631578;0.0
RIZN;1;1;0;1;0;4;0;41;1;1;1;0;0;0;1;0;0;1;0;0.0555555555555555;0.0;0.3157894736842105;0.0
