Nodes;GAT;GT
4053;94769.76;106801.9
1856;7706.37;8572.62
583;2084.28;2163.26
281;406.19;407.64
272;394.96;395.6
203;287.28;287.39
119;171.19;171.46
109;156.55;158.61
98;142.51;143.12
90;132.65;133.78
89;130.9;130.91
87;128.94;129.45
85;124.92;125.62
75;110.95;111.71
69;103.65;104.23
67;101.34;103.57
62;96.4;98.32
58;90.06;92.0
56;86.63;87.85
55;85.19;86.98
54;85.64;86.85
52;82.43;83.23
51;80.99;82.18
47;75.83;76.22
45;71.25;73.9
44;70.92;71.59
42;69.08;72.41
41;68.19;68.28
39;66.27;66.83
38;64.10;64.11
37;62.3;64.29
35;60.64;61.24
34;58.46;60.21
33;55.69;55.97
32;55.24;56.45
31;55.22;56.39
30;52.43;54.76
